n,p,m,L,rep,time_vd,time_tl,mem_vd_mb,mem_tl_mb,ok_vd,ok_tl
1000,1000,1,1000,71,0.0251817,0.0274718,11.1406,19.8906,1,1
1000,1000,1,1000,72,0.028388,0.024906,11.3281,20.2031,1,1
1000,1000,1,1000,73,0.0256123,0.0223089,11.1406,19.6406,1,1
1000,1000,1,1000,74,0.0255501,0.0231714,11.1406,19.4688,1,1
1000,1000,1,1000,75,0.0225067,0.0245932,11.0156,19.8906,1,1
1000,1000,1,1000,76,0.0253713,0.022086,11.1406,19.2812,1,1
1000,1000,1,1000,77,0.025099,0.0223312,11.1406,20.1562,1,1
1000,1000,1,1000,78,0.0244963,0.0258904,11.125,20.0938,1,1
1000,1000,1,1000,79,0.0261627,0.031745,11.2031,21.0625,1,1
1000,1000,1,1000,80,0.0312099,0.026417,11.4688,19.75,1,1
1000,1000,1,1000,81,0.0222479,0.0220957,11.0312,19.6406,1,1
1000,1000,1,1000,82,0.027457,0.0205453,11.2344,19.5469,1,1
1000,1000,1,1000,83,0.0252395,0.0298212,11.1562,20.2188,1,1
1000,1000,1,1000,84,0.0312329,0.0312646,11.4688,20.1406,1,1
1000,1000,1,1000,85,0.0263094,0.0212545,11.2344,19.6406,1,1
1000,1000,1,1000,86,0.022226,0.0238504,11,20.0625,1,1
1000,1000,1,1000,87,0.0221832,0.0268187,11.0156,20.1406,1,1
1000,1000,1,1000,88,0.0258981,0.0235695,11.2031,19.4688,1,1
1000,1000,1,1000,89,0.026029,0.0264868,11.2188,20.25,1,1
1000,1000,1,1000,90,0.0264084,0.0272026,11.2188,19.7188,1,1
1000,1000,1,1000,91,0.0224759,0.024425,11.0312,19.9688,1,1
1000,1000,1,1000,92,0.0225294,0.0197138,11.0312,19.0781,1,1
1000,1000,1,1000,93,0.0244102,0.0244822,11.125,20.0625,1,1
1000,1000,1,1000,94,0.025026,0.0256942,11.1406,19.7188,1,1
1000,1000,1,1000,95,0.0215848,0.0229903,10.9531,19.4062,1,1
1000,1000,1,1000,96,0.0302865,0.0263945,11.4531,20.5469,1,1
1000,1000,1,1000,97,0.025198,0.0233222,11.125,20.1094,1,1
1000,1000,1,1000,98,0.0284309,0.0263275,11.3125,20.2031,1,1
1000,1000,1,1000,99,0.0285122,0.0247213,11.3125,20.2969,1,1
1000,10000,1,10000,0,0.284973,0.29593,87.3438,252.031,1,1
1000,10000,1,10000,1,0.293256,0.228619,87.5781,210.5,1,1
1000,10000,1,10000,2,0.302901,0.286601,87.8125,239.141,1,1
1000,10000,1,10000,3,0.35058,0.290018,89.1406,239.266,1,1
1000,10000,1,10000,4,0.244488,0.236484,86.1875,215.562,1,1
1000,10000,1,10000,5,0.378353,0.261872,90,230.031,1,1
1000,10000,1,10000,6,0.341464,0.281302,88.8438,240.359,1,1
1000,10000,1,10000,7,0.295509,0.230108,87.5625,212.172,1,1
1000,10000,1,10000,8,0.33357,0.338337,88.5938,273.844,1,1
1000,10000,1,10000,9,0.301927,0.213024,87.8125,202.016,1,1
1000,10000,1,10000,10,0.350067,0.264172,89.2344,231.391,1,1
1000,10000,1,10000,11,0.350666,0.259641,89.1406,225.219,1,1
1000,10000,1,10000,12,0.352913,0.319839,89.0781,263.75,1,1
1000,10000,1,10000,13,0.276657,0.24566,87.0156,220.188,1,1
1000,10000,1,10000,14,0.303036,0.245794,87.8125,220.328,1,1
1000,10000,1,10000,15,0.33473,0.31448,88.25,263.297,1,1
1000,10000,1,10000,16,0.323335,0.296214,88.4062,250.062,1,1
1000,10000,1,10000,17,0.28327,0.213468,87.1875,205.703,1,1
1000,10000,1,10000,18,0.294684,0.246082,87.6562,219.719,1,1
1000,10000,1,10000,19,0.350667,0.291461,89.2969,247.141,1,1
1000,10000,1,10000,20,0.265211,0.213723,86.7344,204.625,1,1
1000,10000,1,10000,21,0.344117,0.273909,89,239.891,1,1
1000,10000,1,10000,22,0.350914,0.256649,89.1406,226.469,1,1
1000,10000,1,10000,23,0.36139,0.237114,89.4062,217.406,1,1
